name,xcoord,ycoord,,
Kailash Bikash Bank Limited,83.9724466,28.261209,,
Manakamana Saving +ACY- Credit Cooperative,83.9721695,28.2617605,,
Pokhara Finance,83.9888011,28.2427914,,
Rastriya Banijya Bank,84.8895932,27.0300462,,
Himalayan Bank,84.8769121,27.0116615,,
Himalayan Bank Limited,85.3245974,27.6582414,,
NIC Asia,85.3243175,27.6581184,,
KIST Bank,85.3362595,27.7409273,,
Nepal Investment Bank Limited,85.3216942,27.6688285,,
United Finance Private Limited,85.3183025,27.7102901,,
Standard charter,85.3355592,27.6877172,,
Sangri+AC0-La Development Bank Limited,83.9756932,28.2130261,,
patan money exchange,85.3161738,27.6719457,,
Mega Money Machine,85.3121164,27.6713606,,
parimal bahuusshesiya s. ltd.,85.316274,27.6719282,,
Himal remit,85.3163274,27.6719211,,
laxmai saving and cooperative,85.3152443,27.6719262,,
Centure Development Bank Limited,85.3169228,27.6720362,,
Centure Development Bank Limited,85.3168702,27.6720444,,
uniced multi purpose cooperative Ltd,85.3109117,27.6698626,,
KIST,85.3046438,27.6537246,,
MachhaPuchre Bank Ltd,86.748485,26.5369445,,
Multipurpose Finance Company,86.748451,26.5363964,,
Laxmi bank money transfer,86.7467954,26.5397919,,
Sawalamban laghubitta bikas bank ltd.,86.7500129,26.5440922,,
Agricuiture Develoment Bank Saptari,86.7488584,26.5427291,,
Global IME bank,86.7488536,26.5398265,,
nepal bank li,86.7487899,26.5401516,,
Prabhu bank,86.7485607,26.538168,,
sunrise bank,86.7486727,26.5392903,,
 ,85.3363739,28.1613426,,
Jyoti Bikash Bank,86.7917533,27.2184825,,
krishi Bikash Bank,86.7911165,27.2193149,,
Agricultural Bank,87.0502208,27.1679953,,
Nepal Bangladesh Bank,87.0504522,27.1674008,,
Restreya Banijya Bank,87.0507186,27.1677235,,
 ,87.0505485,27.1672544,,
Bank of Kathmandu,86.7927961,27.2162675,,
Century Bank,86.7922699,27.2130464,,
Rastiye Badijya Bank,86.7931506,27.2119319,,
Salpa Bikash Bank,86.7922701,27.2130707,,
Siddhartha Development Bank Limited,83.543649,27.8437768,,
+ACI-Nepal SBI Bank Limited, Corporate Office+ACI-,85.3220224,27.712406,,
Laxmi Bank Atm,85.3266477,27.7093497,,
Global IME,85.3112824,27.7035474,,
+ACI-Nepal SBI Bank,ATM+ACI-,83.2462254,28.0664698,,
 ,85.3307467,27.7180848,,
NDEP Development Bank,85.3462822,27.7169442,,
 ,85.3463278,27.717356,,
Machhapuchchhre Bank,85.3464957,27.7179418,,
Mahalaxmi Finance,85.3383908,27.7087995,,
Aagrim Mahila Co+AC0-operative,85.3452792,27.7143334,,
 ,85.3471848,27.7181359,,
himalayan bank limited,84.5117632,27.622843,,
Agriculture Development Bank,85.5236356,27.629302,,
Himalayan Bank,85.5236204,27.6292852,,
Infrastructure Development Bank,85.5240844,27.6301997,,
Rastriya Banijya Bank Limited,83.9908613,28.2248116,,
Kanchan Development Bank,80.5799931,28.7046703,,
Kumari Bank Ltd,80.5750243,28.7046915,,
Globle IME Bank,80.5666458,28.7043483,,
Laxmi Bank Ltd,80.5674845,28.7046475,,
Mega Bank Ltd,80.5683692,28.7042643,,
Agriculture Development Bank,banks.fid+AC0-49a111ac+AF8-16932994701+AF8-46d5,84.3770239,28.2320263,
Everest Bank Ltd.,84.3737461,28.2322824,,
Gandaki Development Bank,84.3773694,28.2313184,,
Krisak Jagaran Sahakari,84.3773907,28.2296634,,
Metro Development Bank,84.3777252,28.2293982,,
Nabil Bank,84.377608,28.2296445,,
Nepal Investment Bank,84.3775892,28.2297177,,
Nepal Rastra Bank,84.3779231,28.2268909,,
Om Finance,84.377372,28.230686,,
Pacific Development Bank,84.3773679,28.2298402,,
Rastriya Banijya Bank,84.3773118,28.2313782,,
Reliable Development Bank,84.3777688,28.2293571,,
Shree Jiban Sahaara Sahakari,84.3782906,28.2261441,,
Sunrise Bank,84.3781403,28.226033,,
 ,84.3772236,28.2318027,,
Himalayan Bank Limited,83.9572258,28.2093141,,
Nepal Investment Bank Limited,83.9572597,28.2108458,,
Nabil Bank Limited,83.9572303,28.2133724,,
Nepal SBI Bank Limited,83.957763,28.2138817,,
Hatemaalo Sahakari,84.3777732,28.2289151,,
Besishahar Sahakari,84.377439,28.2292853,,
Jheegu Newa Saving +ACY- Credit Co+AC0-operative Ltd.,85.3555065,27.6503113,,
Everest bank,80.5716822,28.7043631,,
Nabil bank,80.5717167,28.704633,,
Prabhu Bank,85.3046884,27.6538083,,
Western Union,85.3046198,27.6538302,,
 ,85.3046352,27.6538253,,
+//0A5P/9ALj//QCt//0A5f/9AJv//QC9//0A5f/9AIb//QCc//0A5P/9ALj//QCa//0A6f/9AJP//QC2//0A6P/9AKH//QCM-,85.9811031,27.9931328,,
+//0A5P/9ALj//QCt//0A5f/9AJv//QC9//0A6f/9AJP//QC2//0A6P/9AKH//QCM-,85.9809095,27.9926909,,
kalash saving and credit cooperative society limited,85.3909259,27.6907345,,
Global IME ATM,83.244212,28.0663737,,
 ,85.3092298,27.7121643,,
Kilaghal Bachat Rin Sahakari Sansthan,85.3088981,27.7072711,,
One stop Money changer,83.9639566,28.204464,,
NIC Asia,80.5868177,28.7035436,,
Nepal Bank Ltd.,80.5812532,28.7046676,,
Nabali Saving And Credit Cooperative,85.3428726,27.7109649,,
Everest bank ATM,85.2795952,27.692695,,
Machhapuchhre Bank,85.5222878,27.6306041,,
Prabhu Bank,85.5207085,27.6306389,,
Supreme Development Bank,85.5254131,27.6299403,,
Bright Development Bank,85.5254561,27.6299426,,
 ,86.710427,27.8048856,,
Machhapuchchre Bank Limited,83.9714882,28.2013298,,
 ,88.105599,26.6123557,,
Banijya bank,87.1478556,26.6012098,,
shree nari chetana sahakari,85.478348,27.5240735,,
Prime Bank,85.309006,27.7190691,,
 ,88.0740424,26.5681589,,
 ,banks.fid+AC0-49a111ac+AF8-16932994701+AF8-4706,85.3173663,27.7095968,
Infrastructure Development Bank,85.317432,27.7083559,,
Western Union,85.3171028,27.7086603,,
Money Gram,banks.fid+AC0-49a111ac+AF8-16932994701+AF8-4709,85.3172018,27.7089336,
Western Union,85.3171562,27.7086487,,
Pradma Exchange,banks.fid+AC0-49a111ac+AF8-16932994701+AF8-470b,85.3172235,27.7090094,
Gorkha Money Exchange,85.3247021,27.6733963,,
Narayani National Finance,84.4344941,27.6718712,,
