Name_of_Br,xcoord,ycoord
Bagmati River,85.2989166670001,27.6848055560001
Manohara River,85.3414722220001,27.6727500000001
Bimaladhar-1,86.054861111,26.689888889
Bimaladhar-2,86.046777778,26.6908611110001
Jamuni,85.9854722220001,26.703861111
Jalad,85.9382777780001,26.725833333
Janga,85.7523055560001,26.715583333
Maraha,85.717527778,26.832777778
Kantauwa,85.6926388890001,26.8448611110001
Banke,85.6785555560001,26.8505000000001
Banke Branch,85.6599166670001,26.86325
Safaa,85.6111388890001,26.869361111
Singahi,85.5916666670001,26.871888889
Jim,85.576138889,26.8692500000001
Lokhandhai,85.4971944440001,26.863805556
Lokhandhai-2,85.492138889,26.8629722220001
Soram,85.430694444,26.84425
Gadaiya,85.4138333330001,26.831361111
Manusmara,85.398916667,26.8234444440001
Bagmati,85.3282777780001,26.808
Sirsiya,85.3102777780001,26.807972222
Maraha,85.3003055560001,26.7826944440001
Kuduwa,85.2840277780001,26.7620000000001
Baraha,85.2832500000001,26.7662777780001
Bakaiya,85.268611111,26.8270000000001
Jamunawa,85.1985000000001,26.8844722220001
Jamuni,85.1181388890001,26.9509444440001
Daudaha,85.1070527780001,26.9550833330001
Aachal,85.0606111110001,26.969805556
Bhutahi,85.0433888890001,26.979805556
Pasaha,85.0316666670001,26.997111111
Sirsiya,84.8776111110001,27.029555556
Marlaiya,84.861194444,27.0265000000001
Tilaha,84.8256944440001,27.0394166670001
Dhogahi,84.807138889,27.063444444
Gandak Nahar,84.7766388890001,27.108166667
Naurangiya,84.7758888890001,27.108777778
Kholshi,84.7654444440001,27.1202500000001
Baluwahi,84.752972222,27.14225
Hadahi,84.744583333,27.163388889
Emirtti,84.739833333,27.167611111
Gangul,84.7273888890001,27.1909166670001
Oriya,84.698,27.2274722220001
Bire,84.6844166670001,27.267777778
Shikharivas,84.6710833330001,27.2837500000001
Bramanagar,84.6520277780001,27.30825
Odhar,84.653111111,27.316555556
Guhiye,84.647,27.319861111
Indrawati,84.6454444440001,27.325527778
Sansari,84.6431388890001,27.329166667
Gumti,84.6367777780001,27.3298055560001
Thute,84.6178333330001,27.3381944440001
Rautahi,84.3234166670001,27.457777778
Bhyaguta,84.2927222220001,27.4611944440001
Chitai,84.2863611110001,27.4668888890001
Reu-1,84.278416667,27.5027777780001
Reu-2,84.2776111110001,27.5036666670001
Rapti,84.3260000000001,27.549333333
Dhapkakoghol,84.4081666670001,27.637194444
Canal Bridge,84.4078055560001,27.639388889
Sungure,86.021083333,27.3148055560001
Haibar,86.030833333,27.303194444
Bandijor,86.0597500000001,27.2794166670001
Bitijor,86.1100277780001,27.268833333
Dyau,86.1696944440001,27.2514444440001
Akchhu,86.1852777780001,27.2475277780001
Nigure,86.233944444,27.235722222
Sakhar,86.2438888890001,27.2424444440001
Khangsang,86.2843055560001,27.245194444
Chalne,86.3390833330001,27.2234722220001
Naring,86.3389722220001,27.208083333
Soku,86.3738888890001,27.1883333330001
Bahdure,86.3871944440001,27.1769166670001
Jutpani Nahar,85.581416667,27.048722222
Bagmati Nahar,85.5691944440001,27.0146111110001
Motihai,85.3523888890001,27.099027778
Jhaj,85.3091666670001,26.943305556
Namlaha,85.2969722220001,26.8764166670001
Sukhadev Chowk Nahar,85.296194444,26.874666667
Gandak Nahar,85.2893333330001,26.8233888890001
Subgada,85.2760000000001,26.7910555560001
Barahauwa,85.2694444440001,26.774472222
Gandak Nahar,84.9147222220001,27.0338055560001
Singha,84.916722222,27.0341666670001
Dudhaura,84.9377500000001,27.0302222220001
Bangari,84.949388889,27.030055556
Nibuwatar,85.0756111110001,27.513888889
Katare,85.0784722220001,27.516416667
Tansin,85.0811666670001,27.520222222
Golpin,85.1008611110001,27.5312500000001
Ghatte,85.1049166670001,27.5359722220001
Mandu,85.106194444,27.537555556
Dhokaphedi,85.1150000000001,27.5399444440001
Kunchal Bridge,85.1133611110001,27.644361111
Bajrabarahi Khola,85.122111111,27.6490555560001
Dhuskhu,85.150583333,27.6335
Chitlang,85.1568888890001,27.6213611110001
Setikhani,85.165333333,27.6068611110001
Bishnumati Khola,85.3053611110001,27.7255000000001
Tadi Khola Bridge,85.1351111110001,27.8600000000001
Anbuni Khola Bridge,85.1287500000001,27.860638889
Anbuni Khola Bridge-2,85.1264444440001,27.8602222220001
Dhobi Khola Bridge,85.1488055560001,27.9202500000001
Gerkhu Khola Bridge,85.1548333330001,27.9308333330001
Betrawati Khola Bridge,85.1858888890001,27.973972222
Bokejhunda Khola,85.2603611110001,28.0807222220001
Trishuli Bridge,85.311861111,28.107055556
South Saprubasi,85.344444444,28.1650000000001
Runga,85.3500000000001,28.188
Kulung,85.353311111,28.2003611110001
Phenlung,85.362055556,28.224511111
Ghatte,85.3758055560001,28.266361111
Nallu,85.3125277780001,27.5755
Karmanasa,85.3357222220001,27.6479722220001
Khahare,85.3771944440001,27.595027778
Bishnumati,85.3558333330001,27.78175
Bagmati,85.3813055560001,27.721944444
Mahadev Khola,85.4302777780001,27.7296111110001
Manomata,85.445472222,27.729277778
Sali Nadi,85.4807222220001,27.74625
Archale,85.507694444,27.8190000000001
Indrawati,85.5761666670001,27.8293333330001
Sahare,85.581388889,27.819166667
Ghatte Khola Bridge,85.3895555560001,27.740361111
Jammotari River Bridge,85.4105555560001,27.7465
Punyamata,85.5232222220001,27.625222222
Batdev,85.514416667,27.5889722220001
Roshi,85.515277778,27.5835555560001
Salambu,85.5368611110001,27.563194444
Cha,85.6272500000001,27.6827777780001
Dhad,85.5979722220001,27.744583333
Jarke,85.5696111110001,27.782277778
Sindhu,85.569944444,27.787333333
Dhakal Khare,85.5706666670001,27.8005000000001
Dude,85.5721111110001,27.811583333
Jayashori,85.5738611110001,27.827944444
Nuwar,85.551833333,27.850027778
Talamaryang,85.538694444,27.8678333330001
Gyallthungh,85.5418611110001,27.886083333
Thuloshora,85.5379444440001,27.892694444
Gori,85.541444444,27.8974166670001
Melamchi,85.543944444,27.900916667
Thado Khola,85.5541388890001,27.9272222220001
Katike,85.5565000000001,27.9315
Chuda lehung,85.5567222220001,27.9333333330001
Dungtemba,85.550944444,27.9425000000001
Timbhu,85.5443611110001,27.9495277780001
Sunkhosi,85.825777778,27.754166667
Halaale,85.9573333330001,27.718416667
Charnawati,85.9986388890001,27.7070555560001
Tamakoshi,86.0785000000001,27.620388889
Gopi,86.0770277780001,27.613166667
Dholi,86.087305556,27.569888889
Thulo,86.0868888890001,27.548111111
Malu,86.084166667,27.527555556
Milti,86.0902500000001,27.4992777780001
Tamakoshi,86.1044166670001,27.4900277780001
Khimti,86.1188888890001,27.4766111110001
Khahare,86.117388889,27.472277778
Tilpung,86.1100277780001,27.4466944440001
Kathajor,86.0864722220001,27.4258333330001
Lipe,86.083888889,27.41225
Ranajor,86.059388889,27.3781111110001
Sukajor,86.076666667,27.3666111110001
Jiri-1,86.2280000000001,27.6367222220001
Jiri-2,86.228944444,27.636666667
Jiri-3,86.2318055560001,27.636638889
Khimti(Rasanalu Bridge),86.2361666670001,27.5873333330001
Trisuli River Bridge,84.844444444,27.8019444440001
Thopal Bridge,84.845666667,27.8426944440001
Bungchung Khola,84.845638889,27.843888889
Changro-dovan Khola,84.8733333330001,27.8809444440001
Thopal Bridge,84.8839166670001,27.910333333
